time,lambda_left_fx,lambda_left_fy,lambda_left_fz,lambda_right_fx,lambda_right_fy,lambda_right_fz
4.76837158203125e-07,-8.624261560566168,-8.62426156056617,10.0,8.624261560566168,8.62426156056617,-7.095
0.030925273895263672,-8.624245885869522,-8.624245885869522,10.0,8.624245885869522,8.624245885869522,-7.095
0.0723879337310791,10.0,-10.0,6.555797979746354,-10.0,10.0,-3.650797979746354
0.11098742485046387,-0.048742902300685925,-0.01659379758902073,0.02463752610456389,0.0,0.0,0.0
0.15248727798461914,2.525421008864356,-2.5254210088643556,10.0,-2.525421008864356,2.5254210088643556,-7.095
0.18808197975158691,-1.9222930737679775,1.9222930737679778,10.0,1.9222930737679775,-1.9222930737679778,-7.095
0.23333287239074707,0.5619582120157063,0.9555447621943006,0.2748779172998024,0.0,0.0,0.0
0.2845020294189453,-60.73788602308712,-40.54524065986647,167.87216256071088,0.0,0.0,0.0
0.32993030548095703,10.0,10.0,1.4277870175688552,-10.0,-10.0,1.4772129824311448
0.3867216110229492,0.7599150422585339,-36.98534487775594,24.337453277698337,0.0,0.0,0.0
0.4903843402862549,-10.0,-10.0,3.025414551945593,10.0,10.0,-0.12041455194559163
0.5350968837738037,3.319611989701194,10.0,10.0,-3.319611989701196,-10.0,-7.095
0.5793697834014893,10.0,10.0,10.0,-10.0,-10.0,-7.095
0.6346969604492188,-48.36613608793406,-87.43510750609254,319.5234073569473,0.0,0.0,0.0
0.670950174331665,2.6075523084459924,10.0,10.0,-2.607552308445991,-10.0,-7.095
0.7134139537811279,-5.738497885009164,10.0,10.0,5.7384978850091635,-10.0,-7.095
0.745823860168457,10.0,-10.0,2.525215740181796,-10.0,10.0,0.37978425981820396
0.7907586097717285,45.86039203035894,89.44917082208221,103.54284774177995,0.0,0.0,0.0
0.8407015800476074,-99.80627992250933,-154.64214450780352,167.51057738525657,0.0,0.0,0.0
0.8830547332763672,10.0,10.0,0.5811798933725103,-10.0,-10.0,2.32382010662749
0.930046558380127,-2.8989598094362092,2.8989598094362097,10.0,2.8989598094362092,-2.8989598094362097,-7.095
0.977114200592041,10.0,-10.0,2.596626921118493,-10.0,10.0,0.30837307888150683
1.028731107711792,-10.0,10.0,-0.3905928047770168,10.0,-10.0,3.2955928047770167
1.067260980606079,10.0,10.0,-1.8897558628313953,-10.0,-10.0,4.794755862831396
1.116544246673584,-10.0,-10.0,2.266809210464356,10.0,10.0,0.6381907895356441
1.155456304550171,10.0,10.0,-7.095,-10.0,-10.0,10.0
1.2069497108459473,-10.0,10.0,-1.82638309614733,10.0,-10.0,4.731383096147331
1.2559912204742432,10.0,-10.0,-0.24349449205382795,-10.0,10.0,3.1484944920538283
1.2938027381896973,-10.0,10.0,1.5980094968091243,10.0,-10.0,1.306990503190876
1.3378159999847412,10.0,10.0,-5.996465913367386,-10.0,-10.0,8.901465913367389
1.388737678527832,-10.0,-10.0,6.506918977595077,10.0,10.0,-3.601918977595077
1.4349355697631836,-0.5520694241468196,-0.5118615812619876,10.0,0.5520694241468196,0.5118615812619876,-7.095
1.4814801216125488,-5.0038128907829575,-5.003812890782958,-7.095,5.0038128907829575,5.003812890782958,10.0
1.5231921672821045,10.0,10.0,-7.095,-10.0,-10.0,10.0
1.568002700805664,10.0,-10.0,3.277426739440732,-10.0,10.0,-0.37242673944073174
