time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1757906817.5118465,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.5619676,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.612117,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.6720872,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.722105,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.782019,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.8420804,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.9021661,0.0,0.0,-7.0,0.0,0.0,0.0
1757906817.9522057,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.0119915,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.0718932,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.1219063,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.1818519,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.2319505,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.2820106,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.3320723,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.3821738,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.4322665,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.491969,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.5520635,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.6021218,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.6621006,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.7220917,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.7820854,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.8421025,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.8921266,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.9421537,0.0,0.0,-7.0,0.0,0.0,0.0
1757906818.9921796,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.051954,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.1022038,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.1621945,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.22218,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.2821865,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.3420534,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.3921692,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.4521143,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.512111,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.572067,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.6220875,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.6820107,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.7320793,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.7820961,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.8418808,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.8918877,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.9419022,0.0,0.0,-7.0,0.0,0.0,0.0
1757906819.9920056,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.0420263,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.092169,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.1421874,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.2021008,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.2619765,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.3120306,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.3621643,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.4220881,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.4821887,0.0,0.0,-7.0,0.0,0.0,0.0
1757906820.542043,0.0,0.0,-7.0,0.0,0.0,0.0
