time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1757907271.3947623,0.0,0.0,-7.0,0.0,0.0,0.0
1757907271.44495,0.0,0.0,-7.0,0.0,0.0,1.1099999999999994
1757907271.5048468,0.0,0.0,-7.0,0.0,0.0,1.3500000000000014
1757907271.5648248,0.0,0.0,-7.0,0.0,0.0,1.25
1757907271.6148453,0.0,0.0,-7.0,0.0,0.0,1.2300000000000004
1757907271.6748462,0.0,0.0,-7.0,0.0,0.0,1.0899999999999999
1757907271.7248476,0.0,0.0,-7.0,0.0,0.0,1.2300000000000004
1757907271.7748492,0.0,0.0,-7.0,0.0,0.0,1.3100000000000023
1757907271.834836,0.0,0.0,-7.0,0.0,0.0,1.0300000000000011
1757907271.8848658,0.0,0.0,-7.0,0.0,0.0,0.9700000000000024
1757907271.9449418,0.0,0.0,-7.0,0.0,0.0,1.4700000000000024
1757907272.0048518,0.0,0.0,-7.0,0.0,0.0,1.5300000000000011
1757907272.0549245,0.0,0.0,-7.0,0.0,0.0,1.5899999999999999
1757907272.105993,0.0,0.0,-7.0,0.0,0.0,1.6900000000000013
1757907272.1648324,0.0,0.0,-7.0,0.0,0.0,1.6700000000000017
1757907272.2149334,0.0,0.0,-7.0,0.0,0.0,1.6700000000000017
1757907272.2748477,0.0,0.0,-7.0,0.0,0.0,0.490000000000002
1757907272.3348358,0.0,0.0,-7.0,0.0,0.0,0.9700000000000024
1757907272.38484,0.0,0.0,-7.0,0.0,0.0,0.8300000000000018
1757907272.4348435,0.0,0.0,-7.0,0.0,0.0,0.6700000000000017
1757907272.48497,0.0,0.0,-7.0,0.0,0.0,1.1300000000000026
1757907272.5448563,0.0,0.0,-7.0,0.0,0.0,1.6700000000000017
1757907272.5948682,0.0,0.0,-7.0,0.0,0.0,1.5300000000000011
1757907272.644886,0.0,0.0,-7.0,0.0,0.0,0.870000000000001
1757907272.7049646,0.0,0.0,-7.0,0.0,0.0,0.39000000000000057
1757907272.764842,0.0,0.0,-7.0,0.0,0.0,0.8500000000000014
1757907272.8148694,0.0,0.0,-7.0,0.0,0.0,0.490000000000002
1757907272.8748624,0.0,0.0,-7.0,0.0,0.0,1.5700000000000003
1757907272.9348328,0.0,0.0,-7.0,0.0,0.0,-6.890000000000001
1757907272.9848876,0.0,0.0,-7.0,0.0,0.0,-11.77
1757907273.0448492,0.0,0.0,-7.0,0.0,0.0,-7.989999999999998
1757907273.1048403,0.0,0.0,-7.0,0.0,0.0,-2.3699999999999974
1757907273.154846,0.0,0.0,-7.0,0.0,0.0,-1.5899999999999999
1757907273.2049952,0.0,0.0,-7.0,0.0,0.0,-5.849999999999998
1757907273.2648478,0.0,0.0,-7.0,0.0,0.0,-13.389999999999997
1757907273.3148587,0.0,0.0,-7.0,0.0,0.0,-8.869999999999997
1757907273.364859,0.0,0.0,-7.0,0.0,0.0,-1.3299999999999983
1757907273.4149222,0.0,0.0,-7.0,0.0,0.0,-0.8299999999999983
1757907273.4748826,0.0,0.0,-7.0,0.0,0.0,-4.189999999999998
1757907273.5348861,0.0,0.0,-7.0,0.0,0.0,-15.190000000000001
1757907273.5948427,0.0,0.0,-7.0,0.0,0.0,-8.95
1757907273.6448648,0.0,0.0,-7.0,0.0,0.0,-0.9100000000000001
1757907273.7048616,0.0,0.0,-7.0,0.0,0.0,-2.7699999999999996
1757907273.764832,0.0,0.0,-7.0,0.0,0.0,-14.289999999999996
1757907273.8148894,0.0,0.0,-7.0,0.0,0.0,-9.709999999999997
1757907273.8748722,0.0,0.0,-7.0,0.0,0.0,-2.8900000000000006
1757907273.9348483,0.0,0.0,-7.0,0.0,0.0,-6.789999999999999
1757907273.9948401,0.0,0.0,-7.0,0.0,0.0,-12.469999999999999
1757907274.0448983,0.0,0.0,-7.0,0.0,0.0,-8.07
1757907274.104836,0.0,0.0,-7.0,0.0,0.0,-2.4899999999999984
1757907274.1548555,0.0,0.0,-7.0,0.0,0.0,-4.59
1757907274.2148836,0.0,0.0,-7.0,0.0,0.0,-7.509999999999998
1757907274.2748516,0.0,0.0,-7.0,0.0,0.0,-10.349999999999998
1757907274.3248703,0.0,0.0,-7.0,0.0,0.0,-9.369999999999997
1757907274.3766007,0.0,0.0,-7.0,0.0,0.0,-3.1499999999999986
1757907274.434847,0.0,0.0,-7.0,0.0,0.0,-3.509999999999998
1757907274.484867,0.0,0.0,-7.0,0.0,0.0,-11.57
1757907274.544886,0.0,0.0,-7.0,0.0,0.0,-13.889999999999997
1757907274.6048408,0.0,0.0,-7.0,0.0,0.0,-3.7699999999999996
1757907274.6548667,0.0,0.0,-7.0,0.0,0.0,-3.09
1757907274.714797,0.0,0.0,-7.0,0.0,0.0,-11.689999999999998
1757907274.764858,0.0,0.0,-7.0,0.0,0.0,-17.23
1757907274.8148677,0.0,0.0,-7.0,0.0,0.0,-6.689999999999998
1757907274.8748348,0.0,0.0,-7.0,0.0,0.0,0.10999999999999943
1757907274.924855,0.0,0.0,-7.0,0.0,0.0,0.4700000000000024
1757907274.9748921,0.0,0.0,-7.0,0.0,0.0,-7.989999999999998
1757907275.0348558,0.0,0.0,-7.0,0.0,0.0,-13.989999999999998
1757907275.0948749,0.0,0.0,-7.0,0.0,0.0,-3.129999999999999
1757907275.144888,0.0,0.0,-7.0,0.0,0.0,-1.1099999999999994
1757907275.2048407,0.0,0.0,-7.0,0.0,0.0,-11.209999999999997
1757907275.2548609,0.0,0.0,-7.0,0.0,0.0,-14.129999999999999
1757907275.3070698,0.0,0.0,-7.0,0.0,0.0,-15.209999999999997
1757907275.3648305,0.0,0.0,-7.0,0.0,0.0,0.9100000000000001
1757907275.4149787,0.0,0.0,-7.0,0.0,0.0,-2.0299999999999976
1757907275.474902,0.0,0.0,-7.0,0.0,0.0,-11.969999999999999
1757907275.5348315,0.0,0.0,-7.0,0.0,0.0,-10.469999999999999
1757907275.5848417,0.0,0.0,-7.0,0.0,0.0,-0.2099999999999973
1757907275.6348615,0.0,0.0,-7.0,0.0,0.0,1.0700000000000003
1757907275.684866,0.0,0.0,-7.0,0.0,0.0,-4.27
1757907275.7448986,0.0,0.0,-7.0,0.0,0.0,-15.510000000000002
1757907275.8048363,0.0,0.0,-7.0,0.0,0.0,-15.709999999999997
1757907275.854867,0.0,0.0,-7.0,0.0,0.0,-2.7099999999999973
1757907275.9149094,0.0,0.0,-7.0,0.0,0.0,-1.75
1757907275.9748392,0.0,0.0,-7.0,0.0,0.0,-15.849999999999998
1757907276.0248423,0.0,0.0,-7.0,0.0,0.0,-14.429999999999996
1757907276.0748568,0.0,0.0,-7.0,0.0,0.0,-0.6899999999999977
1757907276.1249113,0.0,0.0,-7.0,0.0,0.0,0.7900000000000027
1757907276.1756282,0.0,0.0,-7.0,0.0,0.0,0.19000000000000128
1757907276.2348342,0.0,0.0,-7.0,0.0,0.0,-16.109999999999996
1757907276.28493,0.0,0.0,-7.0,0.0,0.0,-10.689999999999998
1757907276.3448384,0.0,0.0,-7.0,0.0,0.0,0.4299999999999997
1757907276.3948514,0.0,0.0,-7.0,0.0,0.0,-2.469999999999999
1757907276.4449344,0.0,0.0,-7.0,0.0,0.0,-11.629999999999999
1757907276.5048366,0.0,0.0,-7.0,0.0,0.0,-17.289999999999996
1757907276.554891,0.0,0.0,-7.0,0.0,0.0,-10.39
1757907276.6148477,0.0,0.0,-7.0,0.0,0.0,-2.969999999999999
1757907276.6748433,0.0,0.0,-7.0,0.0,0.0,-6.709999999999997
1757907276.7248487,0.0,0.0,-7.0,0.0,0.0,-12.669999999999998
1757907276.774868,0.0,0.0,-7.0,0.0,0.0,-7.109999999999999
1757907276.834867,0.0,0.0,-7.0,0.0,0.0,-0.23000000000000043
1757907276.8849232,0.0,0.0,-7.0,0.0,0.0,0.5899999999999999
1757907276.944862,0.0,0.0,-7.0,0.0,0.0,-11.689999999999998
1757907277.0048385,0.0,0.0,-7.0,0.0,0.0,-12.209999999999997
1757907277.0548482,0.0,0.0,-7.0,0.0,0.0,0.4299999999999997
1757907277.1048555,0.0,0.0,-7.0,0.0,0.0,-3.469999999999999
1757907277.1548831,0.0,0.0,-7.0,0.0,0.0,-10.05
1757907277.2148802,0.0,0.0,-7.0,0.0,0.0,-18.77
1757907277.2748625,0.0,0.0,-7.0,0.0,0.0,-11.989999999999998
1757907277.334831,0.0,0.0,-7.0,0.0,0.0,-0.4299999999999997
1757907277.3850014,0.0,0.0,-7.0,0.0,0.0,1.3500000000000014
1757907277.4448228,0.0,0.0,-7.0,0.0,0.0,-12.489999999999998
1757907277.4948525,0.0,0.0,-7.0,0.0,0.0,-12.189999999999998
1757907277.5448673,0.0,0.0,-7.0,0.0,0.0,-1.8499999999999979
1757907277.604843,0.0,0.0,-7.0,0.0,0.0,-0.2699999999999996
1757907277.6548498,0.0,0.0,-7.0,0.0,0.0,-4.27
1757907277.7148757,0.0,0.0,-7.0,0.0,0.0,-13.749999999999996
1757907277.7748344,0.0,0.0,-7.0,0.0,0.0,-15.150000000000002
1757907277.8248446,0.0,0.0,-7.0,0.0,0.0,-5.27
1757907277.8848808,0.0,0.0,-7.0,0.0,0.0,-2.7300000000000004
1757907277.9449584,0.0,0.0,-7.0,0.0,0.0,-9.43
