time,lambda_star_Fx,lambda_star_Fy,lambda_star_Fz,meas_Fx,meas_Fy,meas_Fz
1757907539.693428,0.0,0.0,-7.0,0.0,0.0,1.4499999999999993
1757907539.7435548,0.0,0.0,-7.0,0.0,0.0,1.2100000000000009
1757907539.803523,0.0,0.0,-7.0,0.0,0.0,1.9700000000000024
1757907539.8638167,0.0,0.0,-7.0,0.0,0.0,1.25
1757907539.9235208,0.0,0.0,-7.0,0.0,0.0,1.1700000000000017
1757907539.9735487,0.0,0.0,-7.0,0.0,0.0,1.7100000000000009
1757907540.0335042,0.0,0.0,-7.0,0.0,0.0,0.870000000000001
1757907540.083523,0.0,0.0,-7.0,0.0,0.0,1.5500000000000007
1757907540.1335282,0.0,0.0,-7.0,0.0,0.0,0.9100000000000001
1757907540.1935275,0.0,0.0,-7.0,0.0,0.0,0.6900000000000013
1757907540.2436364,0.0,0.0,-7.0,0.0,0.0,2.25
1757907540.303507,0.0,0.0,-7.0,0.0,0.0,0.8300000000000018
1757907540.3535216,0.0,0.0,-7.0,0.0,0.0,1.4100000000000001
1757907540.4036062,0.0,0.0,-7.0,0.0,0.0,1.1300000000000026
1757907540.4635043,0.0,0.0,-7.0,0.0,0.0,1.25
1757907540.5135434,0.0,0.0,-7.0,0.0,0.0,1.4700000000000024
1757907540.573762,0.0,0.0,-7.0,0.0,0.0,0.870000000000001
1757907540.6335013,0.0,0.0,-7.0,0.0,0.0,1.8500000000000014
1757907540.6835053,0.0,0.0,-7.0,0.0,0.0,1.370000000000001
1757907540.7435367,0.0,0.0,-7.0,0.0,0.0,1.7100000000000009
1757907540.8035078,0.0,0.0,-7.0,0.0,0.0,1.3100000000000023
1757907540.8634992,0.0,0.0,-7.0,0.0,0.0,1.0700000000000003
1757907540.913514,0.0,0.0,-7.0,0.0,0.0,1.990000000000002
1757907540.9735427,0.0,0.0,-7.0,0.0,0.0,-0.5500000000000007
1757907541.0334969,0.0,0.0,-7.0,0.0,0.0,-4.77
1757907541.0835412,0.0,0.0,-7.0,0.0,0.0,-8.309999999999999
1757907541.1435387,0.0,0.0,-7.0,0.0,0.0,-8.79
1757907541.203584,0.0,0.0,-7.0,0.0,0.0,-5.829999999999998
1757907541.2634969,0.0,0.0,-7.0,0.0,0.0,-4.41
1757907541.3135586,0.0,0.0,-7.0,0.0,0.0,-7.609999999999999
1757907541.3735366,0.0,0.0,-7.0,0.0,0.0,-12.41
1757907541.433505,0.0,0.0,-7.0,0.0,0.0,-8.869999999999997
1757907541.4835746,0.0,0.0,-7.0,0.0,0.0,-2.91
1757907541.5435102,0.0,0.0,-7.0,0.0,0.0,-2.0299999999999976
1757907541.603501,0.0,0.0,-7.0,0.0,0.0,-10.27
1757907541.6535013,0.0,0.0,-7.0,0.0,0.0,-11.169999999999998
1757907541.7139816,0.0,0.0,-7.0,0.0,0.0,-4.07
1757907541.773533,0.0,0.0,-7.0,0.0,0.0,-0.9499999999999993
1757907541.823552,0.0,0.0,-7.0,0.0,0.0,-5.029999999999998
1757907541.8736894,0.0,0.0,-7.0,0.0,0.0,-11.989999999999998
